index,name,rating,description
1,Boxel Rebound,4.6,Play over 50 levels of box-jumping madness! Design and share your own levels.
2,Stacker - Falling tetra blocks!,3.9,A fun arcade game that plays in a popup. Stack falling tetra blocks without hitting the ceiling!
3,Ultimate Car Driving Game,4.4,Enjoy car driving simulator in a big and fascinating city.
4,Boxel 3D,4.6,"Boxel 3D is a speedrunning game packed with challenging levels, custom skins, online multiplayer, and a creative level editor."
5,Snake,4.3,The authentic snake game in a popup. Smooth animations and a saved high score!
6,Beyond 20,4.8,Integrates the D&D Beyond Character Sheets with Roll20 and Foundry VTT.
7,2048,3.5,Play original 2048 puzzle game in popup anytime you want!
8,Helix Fruit Jump Arcade Game,4.1,"In Helix Fruit Jump game, you have to take the ball to the finish line and complete the level."
9,Tiny Tycoon,4.7,Build a tiny tycoon on a tiny planet.
10,Subway Surfers Game,4.0,"Subway Surfers Game right on Chrome™ Browser! Fun for all ages, and a mental workout too! Popup Version. Have fun!"
11,Sniper Gun Shooting Game,3.1,"With your sniper rifle, you have to eliminate all the enemies without being noticed."
12,Endless Car Chase Game,4.3,Super fast car has to escape the cops and get the highest score without crashing.
13,FoE - Helper,3.4,Small tools and helpers for a better gaming experience in Forge of Empires
14,Geometry Dash Strategy Game - HTML5 Game,3.0,"The square moves by itself in Geometry Dash. To jump when necessary, simply click, and to steer a vehicle, use up/down"
15,Geometry Dash Lite Game,3.7,"Play Geometry Dash Lite Game right on Chrome™ Browser! Popup Version, without internet required! Have fun!"
16,Extreme Car Traffic Racing Game,4.0,"If you like car racing games, you must make high scores on highway."
17,Flappy Basketball Game,3.5,Do you like playing basketball? All you have to do is toss the ball into the basket and score as high as you can.
18,Sci Fi Racer Game,3.6,"With your spacecraft, you must pass through round rings on a track with a sci-fi design and score points."
19,Custom Cursor-Man: Hero's Rise - 空闲游戏,4.6,一个有趣的闲置点击游戏，关于一个愿意成为自定义光标英雄的简单家伙和他有趣的冒险。
20,侧边游戏 - 在侧边栏玩迷你游戏,3.0,在您的浏览器侧边栏玩超过一百种迷你游戏！
21,BattleTabs,4.7,Multiplayer Battles in your New Tab
22,Maze,4.2,A fun maze game that plays in a popup.
23,Head Soccer 2022 Sports Game,2.8,Defeat your opponent before the time runs out in the head ball soccer game by choosing your character.
24,Arcade Car Racing Game,3.6,Choose your car and reach the finish line before your opponents by drift racing.
25,NTL MOD for Slither.io,4.2,Advanced slither.io mod for pro players
26,Extreme Motorbike Driving Game,4.0,Choose from three different types of motorcycles and enjoy the ride in a big city.
27,Rolling Ball Unblocked,3.5,"Rolling Ball 3D: Roll through obstacles, collect diamonds & conquer levels! Fast-paced arcade-style gameplay."
28,Offline Games - No Wifi Games,4.4,"Now you can play Offline Games - No Wifi Games right on Chrome™ Browser! Fun for all ages, and a mental workout too!"
29,Cookie Clicker - 点击游戏,4.4,Clicking cookies like a boss - each click makes them feel like the happiest cookie in the universe! 🍪✨
30,Among Us Game,3.9,"Now you can play Among Us Game right on Chrome™ Browser! Offline and Popup Version, without internet required!"
31,Gun Fest Arcade Game,2.3,"In this arcade game, collect ammo using math operations as you progress on the road."
32,Strike Football Sports Game,3.2,Make great freekick over the barrage and score goals in this soccer game.
33,Doodle Jump Original,4.6,"Now you can play Doodle Jump Original right on Chrome™ Browser! Offline and Popup Version, without internet required!"
34,Pinball Space Adventure Game,4.2,Pinball Space Adventure - Survive as long as possible and score as many points as you can!
35,Sci Fi Flight Simulator Game,4.4,"In this flight simulator game, try to complete the levels by collecting the spheres on the stage."
36,Pixel.me - color by number game,4.8,Color by number to melt your stress away with coloring games. Relaxing game for Chrome. Paint online dozens images.
37,KahootGPT (NEW: Start Free!),4.5,Not affiliated with Kahoot! or ChatGPT: Use KahootGPT to win all your Kahoot! games
38,Soccer Online Game Football - HTML5 Game,3.7,Soccer online is the perfect way to get your soccer fix as the world cup season approaches.
39,Stickman Ball Hook Game,2.2,You have to reach the finish line by jumping from one hook to the other hook at the right time with the stickman.
40,Link All,4.8,Link all the nodes. It's harder than it looks.
41,City Bus Driver Car Game,2.4,You have to be a great public bus driver in this bus car game simulator.
42,Geometry Dash Original,3.6,"Now you can play Geometry Dash Original right on Chrome™ Browser! Offline and Popup Version, without internet required!"
43,Extreme Drift Car Game,3.2,Choose your suitable vehicle and drift along the road with the car.
44,2048 Cupcakes,4.3,A popup 2048 cupcakes game
45,Slope Unblocked Game,4.3,Slope is a popular running 3D game. Enjoy endless Slope unblocked and test your reflection skills
46,AntiGameReborn,4.2,AGR - the other OGame experience for all communities.
47,Lil Rooster Money Clicker - Idle Game,4.6,关于说唱歌手Lil Rooster走向成功的艰难道路的有趣游戏！ 他需要你的帮助来传播他的嘻哈音乐并赚取大笔资金！
48,Block Blast Game,4.0,"Play Block Blast Game right on Chrome™ Browser! Popup Version, without internet required! Have fun!"
49,Motocross Driving Simulator Game,3.8,Get real motocross driving experience and complete all missions.
50,Police Car Simulator Game,2.7,"If you like to drive police car, a great cop game is waiting for you."
51,Save Us Game,4.7,Save Us is a puzzle platform game - Try to save all of them to pass the level
52,Drift Car Multiplayer Racing Game,3.0,Drift car multiplayer is a racing game that can be played single player mode and online.
53,Cars Lightning Speed Unblocked Game,4.0,"Lightning Speed, where players race cars and compete in high-speed races. It's a racing game that tests driving skills."
54,Off Road 4x4 Jeep Simulator Game,3.7,Become a great 4x4 car driver in a big town in this offroad car game.
55,Spiderman Masked Missions,2.9,"Doing what a spiderman can, Spiderman: Masked Missions is a game made from the Movie Into the Spiderverse."
56,Slope 2 Unblocked,4.7,Slope 2. You play as a ball that must navigate a variety of obstacles in the entertaining and hard 3D game.
57,Geometry Dash Unblocked,3.6,Geometry Dash Unblocked Game Popup Version for free right on Chrome™ Browser. This is one of our best Casual games! Play Offline!
58,super watermelon,4.8,"Welcome to Super Watermelon! In this relaxing and fun game, you will experience an addictive fruit merge adventure."
59,游戏,4.5,离线游戏合集。
60,Dungeon Dodge Game,4.3,Dungeon Dodge Game - Avoiding the fires and collect the coins!
61,Stop The Lock Game,4.0,Tap the lock at the right time and unlock all the locks. Challenging levels are waiting for you.
62,Table Tennis,4.6,A classic table tennis game that plays in a popup.
63,Merge Cafe Game,4.1,"Merge Cafe Game - Buy tasty cakes, merge them to unlock new recipes and serve them to cute falling customers!"
64,Naruto Ninja Strike - Anime Game,4.1,Do you like watching Naruto anime and playing Atari games? Then this game is for you.
65,Stack Surfer Hyper Casual Game,2.0,Get high scores when you reach the finish line by collecting the piles on the ground with the wheelbarrow.
66,Sonic Origins Pocket Edition,3.8,Do you like classic arcade games? then this sonic game is for you. Start playing!
67,Cookie Tycoon,4.5,"A casual cookie clicker game where you gather cookies by clicking cookies. The more you click, the greater your cookie empire."
68,Knife Hit it Right - HTML5 Game,3.3,Knife Hit it Right is a fun shooter game where we must throw knives carefully at the different targets we come across.
69,Car Parking Master Game,3.6,You have to take the car to the parking area without hitting the pontoons. Challenging levels are waiting for you.
70,Stunt Crasher Car Game,3.6,"In this stunt car crush game, constantly improve your car and jump further and further."
71,alike03's Subscription Info on Steam,4.7,"See on Steam if the game is currently available on any Subscription package like Xbox Game Pass PC & Console, Ubisoft+ or EA Play"
72,Police Car Escape Simulator Game,4.7,Experience an adrenaline-filled police game with police car escape simulator.
73,Classic Uno Game,1.7,"When playing uno against your opponent, you must first run out of cards in your hand."
74,Car Climb Racing Game,5.0,Improve your car and reach the finish line before you run out of gas in mountain climbing.
75,角色扮演网络游戏 - Dedalium,4.9,Dedalium是一个浏览器扩展程序，可将任何网站变为角色扮演游戏。游玩并征服互联网！
76,Level Maze,4.5,A level up maze game that plays in a popup.
77,Basketball Court Dunk Shoot Game,3.0,Make great shots and become a basketball star in this basketball game.
78,偷窃 Brainrot - 畅玩版游戏,2.0,完成终极模因抢劫！潜行绕过守卫，使用 Skibidi 战术，在这款混乱的游戏中窃取病毒式传播的战利品。
79,Endless Golf Battle Game,4.0,"Before you run out of balls, throw the ball into the pit and move on to the next level."
80,3D Rolling Ball Game,3.2,You have to reach the finish line as soon as possible by passing the ball through the obstacles.
81,2 Player Mini Games,4.2,Play 2 Player Mini Games right now. Discover the Joy of palying this game - Your Ultimate Online Happy Experience! Try it now!
82,Paper.io 2 Game,3.8,"Now you can play Paper.io 2 Game right on Chrome™ Browser! Offline and Popup Version, without internet required!"
83,Space Waves - 畅玩版,5.0,乘风破浪！在这个激烈的节奏平台游戏中躲避尖刺和墙壁。你能通过所有关卡吗？
84,Ball Hop Game,3.3,"Try to get the highest score by jumping on the objects on the track. If you fall, you lose the game."
85,"Faceit elo statistics (CS:GO, CS 2)",4.7,"Easily view your statistics on faceit for CS:GO and CS 2. Extended player statistics, his maps, matches are available."
86,Tapit - Previously FaceitAdvanced,4.8,"Level up your Faceit experience – smarter stats, deeper insights, more control."
87,2048 Game,4.8,Play 2048 game offline in a popup anytime you want!
88,Snake Classic,5.0,A classic snake game that plays in a popup.
89,Keep Out Unblocked Game,4.7,Keep Out is an HTML5 action game where players navigate dungeons and collect treasures
90,Faceit EGO Enhancer,5.0,FACEIT EGO ENHANCER — Your Ultimate FACEIT Companion for CS2 Enhance your competitive FACEIT experience with powerful tools that…
91,Bicycle Rider Simulator Game,3.3,Test your skills in Bicycle Rider Simulator full of exciting missions.
92,Dreadhead Parkour,4.6,Play Dreadhead Parkour right on Chrome™ Browser! Offline Version!
93,Agar.io Unblocked,1.9,Agar.io Unblocked
94,Drift Cars Zombie Smasher Game,4.5,Join the gripping battle against the zombie invasion with Drift Cars Zombie Smasher.
95,Extreme Bus Driver Car Game,5.0,Experience the thrill of transporting passengers in city with extreme bus driver.
96,Dream Head Soccer Game,3.3,"In this football game, you have to choose your team and beat the opponent before the time runs out."
