index,name,rating,description
1,"Honey: Automated Coupons & Rewards",4.6,"Save money and earn rewards when you shop online."
2,"Keepa™ - Amazon Price Tracker",4.7,"Adds price history charts and the option to be alerted on price drops to all supported Amazon sites."
3,"Rakuten: Get Cash Back For Shopping",4.9,"Activate & earn Cash Back directly on store sites. We do all the work. You just shop and save. Earn Cash Back at 3,500 stores today!"
4,"Coupert - 自动查找测试应用优惠券",4.7,"自动查找优惠券，应用最优优惠码，并赚取返现奖励，为您的网上购物省钱。"
5,"Cashback service LetyShops",4.7,"Get cashback for shopping online with LetyShops!"
6,"Smarty",4.2,"Add coupon codes & get cash back when shopping online! By installing, you agree to the terms at joinsmarty.com"
7,"Buyhatke: Price History & Tracker, Spend Lens",4.7,"Buyhatke—Track price history, compare prices, find auto coupons, get alerts & save big with Spend Lens while shopping online."
8,"SteamDB",4.8,"在 Steam 商店和社区页面中添加 SteamDB 链接和新功能，可查阅游戏史低价格和在线统计数据。"
9,"RetailMeNot: Codes, Cash Back and Coupons",4.5,"Automatically finds the best promo codes and cash back as you shop online."
10,"wanteeed",4.8,"Wanteeed permet d'appliquer automatiquement les meilleures réductions pour des centaines de sites marchands"
11,"Karma | Online shopping, but better",4.6,"Shop Smarter: Compare Prices, Get Coupons, Price alerts & Earn Cash Back!"
12,"iGraal | Shopping with Savings",4.5,"Don’t look for discounts anymore! iGraal finds the best ones for you."
13,"Alitools Shopping Assistant",4.5,"Auto-find & apply AliExpress ™ promo codes, price history, seller rating, similar products, find item by picture"
14,"Augmented Steam",4.4,"Augments your Steam Experience"
15,"Mino: Automatic Coupons & Cash Back",4.9,"Mino automatically applies the best coupon codes at checkout and gets you the most Cash Back!"
16,"Pie Shopping: AI Cash Back and Coupons",4.5,"Save money effortlessly with Pie Shopping: activate Cash Back, auto-apply coupons, and use our AI side panel for smart deals!"
17,"Add to Babylist Button",3.7,"Add items to your Babylist registry from any store."
18,"Joko: Cash back & automatic coupons",4.0,"Earn money effortlessly with the Joko browser extension!"
19,"RoEarn: Roblox 购买返现",4.8,"在 Roblox 上的每次购买都能获得 Robux 返现！"
20,"ID.me Shop: Discover Community Discounts",4.2,"Let the ID.me Shop browser extension find Military, Nurse, Teacher, Responder discounts and more while you shop."
21,"1688采购助手插件版",4.1,"1688采购助手插件是阿里巴巴旗下官方电商采购工具，支持一键截图找同款，上下游图搜比价；支持商品素材下载，提供商品销量和价格走势、旺旺消息/订单消息/供应商新品等通知信息、各类商机榜单和趋势热点，还有AI辅助找挑、图片素材优化，帮助您的采购流程更加便捷高效透明。"
22,"Add to MyRegistry.com Button",4.9,"Add items from all your favorite stores to one universal gift list."
23,"Qantas Shopping Points-Prompter",3.2,"Browser extension for Qantas shopping"
24,"AiPrice(AliPrice)跨境卖家辅助工具",4.8,"AiPrice跨境卖家辅助工具可以让你轻松地在跨境电商网站上找到同款货源。"
25,"BeFrugal: Automatic Coupons and Cash Back",4.8,"Get the highest Cash Back and automatically apply best coupons at over 5,000 stores and restaurants!"
26,"AliHelper – 购物助手，适用于 AliExpress ™",4.4,"适用于 AliExpress ™ 的优惠券代码、价格历史、卖家评级、带图评价、包裹追踪和折扣"
27,"TopCashback USA Get Cash Back & Coupons",3.7,"Join over 25m members worldwide and earn money back when you shop online with the TopCashback browser extension!"
28,"AliSave Plus - Download AliExpress Images",4.6,"Download Aliexpress Product Images & Videos. The most popular tool for AliExpress!"
29,"Rabatta",4.2,"Save money with discount codes from Rabatta."
30,"Share-A-Cart – 轻松分享购物车",4.1,"Share-A-Cart 允许您与他人共享购物车."
31,"Alibaba Lens: Official Alibaba.com Image Search Tool for Wholesale Supply",4.9,"Alibaba Lens：搜索电商平台商品的新方式"
32,"AiPrice(AliPrice) - TB以图搜同款",4.8,"AiPrice以图搜同款神器可以让你轻松地在跨境电商网站上找到同款货源。"
33,"AiPrice(AliPrice)中国进口图片搜索",4.8,"AiPrice以图搜货神器可以让你轻松地在跨境电商网站上找到同款货源。"
34,"1688遨虾：AI跨境选品与图搜找厂",4.8,"1688官方AI助手：截图一键找同款货源，智能分析亚马逊数据，极速对接源头工厂。"
35,"SimplyCodes: Verified Coupon Codes by Real Shoppers",4.6,"Verified promo codes for 400,000+ stores. Real shoppers test codes in real time so you save with confidence. Always privacy-first."
36,"Tenere",4.5,"Automatically apply coupon codes when you shop and plant trees on your behalf."
37,"Checkmate - Save While You Shop.",4.5,"Automatically apply coupons, track your orders, and unlock exclusive deals!"
38,"Molly",4.9,"Molly finder automatisk bedre priser, rabatkoder og advarer dig mod dårlige anmeldelser, når du shopper online."
39,"Trustpilot: Reviews & Ratings",3.2,"See if a website is trustworthy without leaving the page."
40,"EuroSaver - Amazon Europe Price Comparison",4.6,"Simplifies comparing Amazon product prices across all European stores."
41,"UpSeller - 产品采集插件",4.9,"从主流电商平台采集产品并发布到你的店铺"
42,"AliExpress - 以图搜图",4.3,"通过图片或屏幕区域选择在AliExpress上搜索商品"
43,"Widilo - Cashback et Codes Promo",4.6,"Widilo t'alerte en temps réel du cashback et des codes promo dispo sur tes sites marchands préférés."
44,"Giftful",4.5,"The easiest way to add wishes to your giftful wishlists!"
45,"LoveDeals: Automatic Coupons & Deals",4.8,"LoveDeals: AI-Powered Coupon Extension / Finder"
46,"BestPrice Assistant",3.5,"Ο έξυπνος βοηθός στις ηλεκτρονικές σου αγορές που θα σε βοηθήσει να κερδίσεις χρόνο και χρήμα!"
47,"Shopilo: Automatic Coupon Finder by DontPayFull",4.9,"Automatically finds coupons and applies the best coupon code at checkout."
48,"AT Price Tracker",4.9,"Show price history on Autotrader UK and track price changes automatically"
49,"Moonsift: Wishlist & Gift List Maker",4.9,"Save products from any store in the world. Curate and share your own shoppable collections, gift registries, and wish lists."
50,"AMZ Downloader - Amazon Videos and Images Downloader",3.0,"Downloads Amazon product and variations images and videos and exports links to CSV."
51,"eBay Sold History Button - See Item Purchase History",4.5,"Add a 'HISTORY' button to the title on eBay product pages, to open purchase history. Quickly access it with a shortcut key!"
52,"货币转换器 PRO",4.7,"用于在线购物和旅行的货币转换器，具有实时汇率、自动检测、百分比和灵活设置。"
53,"Property Tracker",3.9,"Tracks changes to property prices on the RightMove website."
54,"Coupert Pure: AI-Powered Coupons & Price Compare",4.0,"Your AI shopping assistant. Shop smarter, save more."
55,"价格跟踪器 2.0 - 价格图表和自动购买",3.9,"价格跟踪器 2.0 - 价格历史图表、自动购买产品、在购物网站上设置降价警报"
56,"FatCoupon Cashback & Promo Codes",4.8,"Shop with the FatCoupon extension for cashback and automatic coupons at over 12,000 stores."
57,"Navigate Rewards",4.6,"Turn Your Web Browsing into Rewards!"
58,"Extension Club R",4.3,"Avec l’extension Club R, Rakuten recompense automatiquement vos achats sur des milliers de sites partenaires"
59,"Flash AI - Unbiased Reviews. Lowest Prices",5.0,"Instant, unbiased product clarity with reviews and real-time prices."
60,"Alibaba Search by image",3.3,"Quickly search Alibaba for any image you see while browsing!"
61,"Cuponation | Shopping with Savings",4.5,"Don’t look for discounts anymore! Cuponation finds the best ones for you."
62,"Myibidder Auction Bid Sniper for eBay",4.1,"This extension places a 'Snipe it' link on eBay listings for easy access to Myibidder.com Auction Bid Sniper."
63,"The RebatesMe Cash Back Button",4.0,"Automatically Finds You The Highest Cash Back Rate"
64,"Allkeyshop - Compare Game Prices",4.8,"Shows you the best deals and discount coupons available while you're surfing on the web"
